Film name,Year,Note,Region,Introduction
黄金三镖客,1966,9.1, 意大利 西班牙 西德 ,最棒的西部片。
爱在午夜降临前,2013,8.8, 美国 ,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
美国丽人,1999,8.4, 美国 ,每个人的内心都是深不可测的大海。 
荒野生存,2007,8.6, 美国 ,出门必备：本草纲目。
迁徙的鸟,2001,9.1, 法国 德国 意大利 西班牙 瑞士 ,最美的飞翔。
无敌破坏王,2012,8.6, 美国 ,迪士尼和皮克斯拿错剧本的产物。
英国病人,1996,8.4, 美国 英国 ,"In memory, love lives forever..."
步履不停,2008,8.8, 日本 ,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
疯狂的石头,2006,8.3, 中国大陆 香港 ,中国版《两杆大烟枪》。
燕尾蝶,1996,8.6, 日本 ,现实与童话交相辉映的旅程。
非常嫌疑犯,1995,8.6, 德国 美国 ,我不信仰上帝，但我敬畏上帝。
勇士,2011,8.9, 美国 ,热血沸腾，相当完美的娱乐拳击大餐。
彗星来的那一夜,2013,8.4, 美国 英国 ,小成本大魅力。
国王的演讲,2010,8.3, 英国 澳大利亚 美国 ,皇上无话儿。
叫我第一名,2008,8.6, 美国 ,乐观比一切都有力量。
血钻,2006,8.5, 美国 德国 ,每个美丽事物背后都是滴血的现实。
穆赫兰道,2001,8.3, 法国 美国 ,大卫·林奇的梦境迷宫。
海街日记,2015,8.6, 日本 ,none
聚焦,2015,8.8, 美国 ,none
上帝也疯狂,1980,8.6, 博茨瓦纳 南非 ,纯净原始的笑与感动。
枪火,1999,8.6, 香港 ,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
我爱你,2011,9.0, 韩国 ,你要相信，这世上真的有爱存在，不管在什么年纪 
遗愿清单,2007,8.5, 美国 ,用剩余不多的时间，去燃烧整个生命。
大卫·戈尔的一生,2003,8.6, 美国 德国 英国 ,捍卫人权只是信仰，一点不妨碍其行为的残忍。
黑鹰坠落,2001,8.5, 美国 ,还原真实而残酷的战争。
荒岛余生,2000,8.5, 美国 ,一个人的独角戏。
蓝色大门,2002,8.3, 台湾 法国 ,青春的窃窃私语。 
千钧一发,1997,8.7, 美国 ,一部能引人思考的科幻励志片。
爱·回家,2002,9.0, 韩国 ,献给所有外婆的电影。
